(venv) shiywang@shiywang-Precision-3630-Tower:~/grandma_su/Test/Server_Test$ python test1.py -n 200
Number of cpu : 8
[D] Main: Test 1
[I] SP: No saved data, Creating new data
[I] SP: Goldie Sullivan: 80, 62415493C4BA, female
[I] SP: Eric Villalvazo: 96, BE9EC483C140, male
[I] SP: Mildred Taylor: 95, 7C9AA0C595C3, female
[I] SP: Shawn Pettry: 53, 19F5E1A55E98, male
[I] SP: Mark Boswell: 52, 2E9FCD6ABF8D, male
[I] SP: Chris Benitez: 67, CD41C71FE249, female
[I] SP: Leon Keller: 82, FF8FF284326F, male
[I] SP: Brandon Bergman: 67, DE45396C4BCA, male
[I] SP: Stephanie Fugate: 73, 50C82E7BE5E1, female
[I] SP: Rose Matley: 98, 0D1CCC1AB030, female
[I] SP: Sarah Kramer: 53, 9E3B1B6E8826, female
[I] SP: Christopher Kaufman: 69, E3C5CC670056, male
[I] SP: Daniel Hawes: 74, 24A58254995C, male
[I] SP: Doris Turner: 82, 4D99034B5D1C, female
[I] SP: Pauline Chai: 88, AAF56BCBEECE, female
[I] SP: Hannah Hunsucker: 68, B4F20E36CAEE, female
[I] SP: Nina Disney: 88, 7786A0BB7B7F, female
[I] SP: Ruben Johnson: 83, D71CA059A2DB, male
[I] SP: Elmer Jensen: 72, 4B20A10B5583, male
[I] SP: Christopher Dibbles: 58, 7AD52B4A886B, male
[I] SP: Michael Falcone: 56, DB891AE6600C, male
[I] SP: Manuel Davis: 68, 089CCD2EBD28, male
[I] SP: Ashley Hurse: 93, F1539B1F2115, female
[I] SP: Carey Weston: 64, 538C5860415C, female
[I] SP: Mary Hoag: 55, 28AD0296A4C9, female
[I] SP: Gary Cantell: 91, A57D47497B56, male
[I] SP: Edward Baker: 62, 7DA53A768DC6, male
[I] SP: Eric Gagnon: 62, BBC03A4C8CFE, male
[I] SP: Jennifer Frazier: 93, 50F19959ABE7, female
[I] SP: Nicole Linn: 67, ADBFE1960462, female
[I] SP: Phillip Doyle: 91, FE0870578731, male
[I] SP: Natasha Deyoung: 60, 1BEC9F173765, female
[I] SP: Victor Rodriguez: 56, 066A31D1D57C, male
[I] SP: Richard Collins: 65, A4DCB8CD965C, male
[I] SP: Crystal Taylor: 63, E777ACD0DEA5, female
[I] SP: David Miller: 67, 03D4634A8005, male
[I] SP: Jessica Koch: 55, 59F5144D824D, female
[I] SP: Henry Neville: 56, 9649259AE759, male
[I] SP: Cecelia Alexander: 56, FBC1C836028C, female
[I] SP: Joe Slayman: 97, F17D3B7D5302, male
[I] SP: Jane Bernhardt: 65, 15319CFE4AC6, female
[I] SP: Rae Graham: 69, 31950A631F07, female
[I] SP: Lora Lawhorn: 82, 6223D5B97D09, female
[I] SP: Minnie Backhaus: 79, F1A98662484A, female
[I] SP: Anthony Trask: 56, 015F2429E3DC, male
[I] SP: Hazel Richert: 85, E00B71959789, female
[I] SP: Michelle Beesley: 56, DEA238AF0A7C, female
[I] SP: Irene Koehn: 97, DEAE119A5029, female
[I] SP: Marguerite Cameron: 97, 6C32A3AAC9DB, female
[I] SP: Ronnie Howard: 56, 1F62B6743986, male
[I] SP: Diana Monge: 70, 3EBB651D8862, female
[I] SP: Amber Whitehurst: 72, E239B852F0B1, female
[I] SP: Jorge Mendez: 77, E78F158A87C9, male
[I] SP: David Terry: 67, DBB93E2E7B85, male
[I] SP: Joseph Lopez: 56, CB89F87C2AD6, male
[I] SP: Courtney Stiles: 75, 62628DB4D7D2, male
[I] SP: Robert Parker: 75, 87B0E491CF6F, male
[I] SP: Judith Mckinney: 84, 199D9F947927, female
[I] SP: Shane Major: 80, 8EC63F8F5299, male
[I] SP: Thomas Haskell: 56, E8A2B72EF809, male
[I] SP: Theresa Hood: 73, 7FB8BE78EEED, female
[I] SP: Paul Jefferies: 67, FBC21B424DE9, male
[I] SP: Alvin Ennis: 71, 39869E8A0DB1, male
[I] SP: Colin Senethavilouk: 93, 709B5D630BD4, male
[I] SP: Samuel Larose: 53, FB849443BD1D, male
[I] SP: Sarah Furbee: 74, 2440633BE5D7, female
[I] SP: Christopher Dabney: 97, 90926DC76F93, male
[I] SP: Christopher Dunning: 74, 8E099D222FC2, male
[I] SP: Robert Looney: 87, 91B240A0EEE9, male
[I] SP: Shirley Laporte: 81, A41F46F79C3C, female
[I] SP: Jennifer Nall: 64, C0D743851958, female
[I] SP: Richard Lloyd: 85, 8270A22175A1, male
[I] SP: Glenda Fields: 63, 53AE7B22A841, female
[I] SP: Anne French: 62, AAA97F938C8D, female
[I] SP: Loreta Lauer: 74, EB2367EC60E2, female
[I] SP: Marietta Kettner: 82, D04D8E04DDCB, female
[I] SP: Dawn Foster: 73, A9173014F9BC, female
[I] SP: Kimberly Riecke: 66, 72DD64C49F12, female
[I] SP: Debbie Lopez: 81, 7C07AE305241, female
